distance_to_roads,gridcellcode,hii,structural_habitat,tri
3985.284530453237,N01E01,8.864416565551624,79.78677481070301,11.501324809433878
4866.8428229577685,N01E02,6.734123583287879,77.60468594217346,13.430197693560638
2726.1283207799097,N01E03,6.118611064259421,76.56560049580982,8.755863650447953
11255.713634973132,N01E04,1.9119986458502136,84.89701166769956,5.017863392528297
7634.915518701749,N01E05,2.1568939764167974,67.34928996793403,4.205885742140059
2815.4703498485114,N01E06,2.8640922617756184,68.00604941930963,4.814463636251667
1526.3916340932662,N01E07,4.775619199521322,91.47119452453452,5.264311034326587
665.6769792722454,N01E08,7.075829974476427,72.37205949718414,4.241699725799019
2519.935461196309,N01E09,6.923353979284386,68.84759235806091,5.933330775893214
9494.842566439873,N01E10,7.913421041214913,73.22531055482202,5.763562960920118
19660.60365111983,N01E11,6.789748315818818,70.77964754385492,5.309053378755839
32853.032196763255,N01E12,8.480670658199395,55.11448088167927,5.200915737313557
47205.17672456496,N01E15,8.667231462578075,0.0,33.137491418617145
39994.74861658524,N01E16,8.314434878735584,0.0,19.02558410300866
29995.578684224525,N01E17,11.30419468741245,0.0,18.39315250221877
13695.473780528711,N01W01,7.277958919778348,64.62794050281589,10.00459447519521
5164.0618929206075,N01W02,9.670566236981479,63.25123278812211,9.926643632461461
1179.7414710085495,N01W03,7.586689385136904,67.62962510519314,9.779316201423772
919.1590165086161,N01W04,7.3429249772990515,61.30203982646655,10.547939263515355
967.5711240386285,N01W05,10.230223509017144,70.44942200425749,14.148373691126015
852.3836621778762,N01W06,12.088589362931618,69.5564522648271,21.947668564716807
2184.3111884474965,N01W07,5.882529000419281,81.73347524992587,41.904022730730276
3509.7869345848017,N01W08,4.852349285634704,93.91168386731695,54.45622604790557
4570.430078074121,N01W09,10.287053247671345,87.18474306809304,49.18405380984339
12651.139883535867,N01W10,7.203227519256619,84.72878661313358,81.4804048542771
15267.968348371862,N01W11,5.953216283664638,93.86138880655328,100.11536700683057
4964.676335688164,N01W12,7.195072499921479,93.56658403168869,83.75500965120362
5457.052713913167,N01W13,9.042836355252666,82.22430007275467,47.399956221262514
3893.84402446507,N01W14,11.161839975503428,83.67741370483145,51.83103159559258
819.8221853404066,N01W15,15.741626976616358,78.23150817816823,7.992680504467597
2085.1918147942138,N01W16,11.204561996700015,46.68631942011802,7.1507074222445475
6756.302878589328,N01W17,10.148138210923916,10.5907951820215,9.535071747735396
5897.3938006174585,N01W21,2.742479442073488,0.0,11.253317975231282
5952.9644634175875,N01W22,3.312641621536281,0.0,12.950471614773072
11977.346157832599,N01W23,3.84602838504021,0.0,10.311524252968331
3542.447049347277,N02E01,6.889236742826798,68.50963326237502,14.806324661810002
5273.732282033276,N02E02,5.640951596894087,59.78033467166067,11.526553284498885
2497.4580029362655,N02E03,4.069319239001285,67.62488211042543,6.454273990288949
7232.0286631637455,N02E04,2.224261308276539,58.96065856484599,6.078600250408936
1451.4541200762765,N02E05,2.361851857521383,55.67768316671605,6.462436035403596
2171.8651755060905,N02E06,3.9347726106922707,45.77741101021259,6.525967088977576
788.4038615320391,N02E07,5.488367720395738,70.30709223680306,4.7972739536415
364.3802433818068,N02E08,9.136273934967019,77.61007517986576,3.297271174597954
1355.0389643558653,N02E09,9.077834104535038,69.11823987496967,4.38438562460568
1318.6964144857825,N02E10,9.714304633922158,64.97042655816333,4.118265482905033
10762.644831011516,N02E11,9.831758856855874,70.28643798334724,4.814084834732383
26682.250879883868,N02E12,13.287005701899286,31.8145698041012,4.898082965669057
